"","subid","submit.date","submit.time","trial.num","itemNum","trialType","samePos","chosen","chosenIdx","kept","keptIdx","rt","numPic","interval","test","exp","day.and.time","correct","include","first.trial","numPicN","intervalN"
"1","1","Aug 11 2013","18:45:03",13,0,"Same",1,"Novel28",1,"Novel28",1,2124,"3","7",1,"Exp 1",15928.7812847222,TRUE,TRUE,TRUE,3,7
"2","1","Aug 11 2013","18:45:03",14,1,"Switch",1,"Novel118",2,"Novel118",2,2475,"3","7",1,"Exp 1",15928.7812847222,TRUE,TRUE,FALSE,3,7
"3","1","Aug 11 2013","18:45:03",15,2,"Same",0,"Novel96",2,"Novel96",1,1669,"3","7",1,"Exp 1",15928.7812847222,TRUE,TRUE,FALSE,3,7
"4","1","Aug 11 2013","18:45:03",16,3,"Switch",1,"Novel68",1,"Novel134",0,3223,"3","7",1,"Exp 1",15928.7812847222,FALSE,TRUE,FALSE,3,7
"5","1","Aug 11 2013","18:45:03",17,4,"Same",1,"Novel88",1,"Novel88",1,1518,"3","7",1,"Exp 1",15928.7812847222,TRUE,TRUE,FALSE,3,7
"6","1","Aug 11 2013","18:45:03",18,5,"Switch",0,"Novel7",2,"Novel7",0,5950,"3","7",1,"Exp 1",15928.7812847222,TRUE,TRUE,FALSE,3,7
"7","1","Aug 11 2013","18:45:03",19,6,"Same",0,"Novel139",0,"Novel139",1,1643,"3","7",1,"Exp 1",15928.7812847222,TRUE,TRUE,FALSE,3,7
"8","1","Aug 11 2013","18:45:03",20,7,"Switch",0,"Novel27",2,"Novel72",0,2333,"3","7",1,"Exp 1",15928.7812847222,FALSE,TRUE,FALSE,3,7
"9","2","Apr 02 2013","16:25:45",6,0,"Switch",1,"Novel74",3,"Novel22",2,2010,"8","0",1,"Exp 1",15797.6845486111,FALSE,TRUE,TRUE,8,0
"10","2","Apr 02 2013","16:25:45",8,1,"Same",1,"Novel87",7,"Novel87",7,1991,"8","0",1,"Exp 1",15797.6845486111,TRUE,TRUE,FALSE,8,0
"11","2","Apr 02 2013","16:25:45",10,2,"Switch",0,"Novel139",1,"Novel98",0,7460,"8","0",1,"Exp 1",15797.6845486111,FALSE,TRUE,FALSE,8,0
"12","2","Apr 02 2013","16:25:45",12,3,"Same",1,"Novel53",6,"Novel53",6,1519,"8","0",1,"Exp 1",15797.6845486111,TRUE,TRUE,FALSE,8,0
"13","2","Apr 02 2013","16:25:45",14,4,"Switch",0,"Novel109",3,"Novel33",4,2751,"8","0",1,"Exp 1",15797.6845486111,FALSE,TRUE,FALSE,8,0
"14","2","Apr 02 2013","16:25:45",16,5,"Same",0,"Novel60",2,"Novel60",5,973,"8","0",1,"Exp 1",15797.6845486111,TRUE,TRUE,FALSE,8,0
"15","2","Apr 02 2013","16:25:45",18,6,"Switch",1,"Novel73",2,"Novel48",7,2898,"8","0",1,"Exp 1",15797.6845486111,FALSE,TRUE,FALSE,8,0
"16","2","Apr 02 2013","16:25:45",20,7,"Same",0,"Novel84",3,"Novel84",4,1120,"8","0",1,"Exp 1",15797.6845486111,TRUE,TRUE,FALSE,8,0
"17","3","Apr 03 2013","04:30:47",13,0,"Switch",0,"Novel75",1,"Novel75",7,3465,"8","7",1,"Exp 1",15798.1880439815,TRUE,TRUE,TRUE,8,7
"18","3","Apr 03 2013","04:30:47",14,1,"Same",1,"Novel103",0,"Novel103",0,1865,"8","7",1,"Exp 1",15798.1880439815,TRUE,TRUE,FALSE,8,7
